#,Reference,Qty,Value,Footprint,DNP
1,"3V1, 5V1, 15V1, 15V2",4,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
2,BZ1,1,Buzzer,Buzzer_Beeper:Buzzer_12x9.5RM7.6,
3,"C2, C5, C7, C9, C11, C13, C15, C23, C25",9,1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
4,"C3, C6, C8, C10, C12, C14, C16, C17, C19, C21, C24, C26",12,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
5,C18,1,"1u, 16V",Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,
6,"C20, C22",2,"100nF,50V",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
7,D1,1,RS1M,RS1M:DIOM4330X250N,
8,"D2, D3",2,1N4742A,1N4742A:DIOAD1060W70L435D230,
9,F1,1,Fuse,Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
10,"H1, H2, H3, H4",4,MountingHole,MountingHole:MountingHole_3.2mm_M3_Pad,
11,J1,1,B9B-XH-A(LF)(SN),B9B-XH-A_LF__SN_:JST_B9B-XH-A(LF)(SN),
12,J2,1,Conn_01x03_Pin,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
13,J3,1,B8B-XH-A(LF)(SN),B8B-XH-A_LF__SN_:JST_B8B-XH-A(LF)(SN),
14,"J4, J5",2,282814-2,Terminal_block_plug_5mm:TE_282814-2,
15,J6,1,Power 5V,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
16,J7,1,Power 3v3,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
17,J8,1,GND,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
18,J9,1,Button 1,B2B-XH-A_LF__SN_:JST_B2B-XH-A(LF)(SN),
19,Q1,1,2SC1815,Package_TO_SOT_SMD:SOT-23,
20,R1,1,1k2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
21,R2,1,0R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22,R3,1,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
23,R4,1,330,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
24,"R5, R6, R7, R12, R13, R16, R17",7,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
25,"R8, R9",2,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
26,"R10, R11, R14, R15",4,20k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
27,U1,1,~,Hien_footprint:MPU9250,
28,"U2, U6",2,74HC14D,74HC14D:SOIC127P600X175-14N,
29,U3,1,~,Hien_footprint:pico_pin,
30,"U4, U5",2,~,B4B-XH-A_LF__SN_:JST_B4B-XH-A(LF)(SN),
31,U7,1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
32,U8,1,L7805,Package_TO_SOT_SMD:TO-252-2,
33,U9,1,LM358DT,LM358DT:SOIC127P600X175-8N,
